frame,body,body_id,confidence,tracking_state,action_state,x,y,z,vx,xy,vz,width,height,length,mask,nose,neck,right_shoulder,right_elbow,right_wrist,left_shoulder,left_elbow,left_wrist,right_hip,right_knee,right_ankle,left_hip,left_knee,left_ankle,right_eye,left_eye,right_ear,left_ear
25,0,0,80.97788,OK,MOVING,0.36063,0.22975,1.32493,-0.46780,-0.19518,0.57929,0.54423,0.67036,0.54423,n/a sl::Mat not initialised,[ 0.28661403 -0.0256325   1.356142  ],[0.35172746 0.1297341  1.2874115 ],[0.53129965 0.12601897 1.297907  ],[0.60294425 0.35231245 1.3137214 ],[0.6422567  0.50399995 1.480358  ],[0.1721553  0.13344923 1.2769159 ],[0.10664885 0.34529573 1.3630657 ],[0.16067486 0.12305221 1.3596953 ],[0.44781613 0.6089739  1.3918703 ],[0.47367918 0.7900982  1.4054923 ],[0.45221332 0.6343181  1.3622752 ],[0.26378748 0.6133837  1.3843662 ],[0.2377394 0.7821356 1.4514831],[0.26211235 0.64347684 1.3691691 ],[ 0.3230719  -0.06622723  1.3402148 ],[ 0.26298717 -0.06477037  1.3223666 ],[ 0.40344065 -0.05773386  1.2722378 ],[ 0.23320055 -0.05360621  1.2216676 ]
26,0,0,78.81564,OK,MOVING,0.35308,0.22433,1.35489,-0.44160,-0.20545,0.61903,0.54071,0.67463,0.54071,n/a sl::Mat not initialised,[ 0.28337327 -0.02886829  1.3864992 ],[0.3460886  0.12975547 1.3207755 ],[0.52576673 0.12880898 1.330324  ],[0.5893401  0.35764262 1.3478295 ],[0.62604916 0.5161637  1.5089437 ],[0.16641042 0.13070199 1.3112272 ],[0.10117552 0.3370096  1.410698  ],[0.1597294  0.11816514 1.3773395 ],[0.43522522 0.6088573  1.4230316 ],[0.45384347 0.7918003  1.4394022 ],[0.43856254 0.63486075 1.3939477 ],[0.25150824 0.6106813  1.4161229 ],[0.22565828 0.78229856 1.4790678 ],[0.24965262 0.640589   1.3998702 ],[ 0.32039538 -0.06856051  1.3699971 ],[ 0.2602795  -0.06776622  1.3522638 ],[ 0.40044573 -0.05794817  1.3021995 ],[ 0.23011741 -0.05569783  1.2519553 ]
27,0,0,80.75929,OK,MOVING,0.34661,0.21826,1.38754,-0.41601,-0.21584,0.65993,0.53789,0.67890,0.53789,n/a sl::Mat not initialised,[ 0.28032148 -0.0348728   1.4174237 ],[0.34179422 0.12820277 1.3567696 ],[0.5213874 0.1296764 1.3665377],[0.57700664 0.3605524  1.384689  ],[0.6090628  0.52717996 1.5384897 ],[0.16220105 0.1267291  1.3470014 ],[0.09716474 0.32867083 1.4552442 ],[0.15928254 0.11767763 1.3914454 ],[0.42410755 0.607031   1.4601678 ],[0.42033663 0.7917017  1.4803004 ],[0.42460766 0.63388187 1.4318037 ],[0.24077533 0.60627663 1.4529243 ],[0.2141502  0.77970314 1.5140564 ],[0.23874605 0.6362934  1.4359156 ],[ 0.31804505 -0.07351112  1.4003732 ],[ 0.25812024 -0.0731059   1.3820395 ],[ 0.3985446  -0.06009394  1.3339112 ],[ 0.22875765 -0.05894586  1.2819661 ]
28,0,0,82.46238,OK,MOVING,0.34089,0.21090,1.42407,-0.39184,-0.22782,0.70526,0.53562,0.68292,0.53562,n/a sl::Mat not initialised,[ 0.2787531  -0.04482272  1.4498905 ],[0.3381688  0.12304604 1.395115  ],[0.5174495 0.1271491 1.4059496],[0.5651639 0.3598297 1.4243644],[0.59093034 0.5331075  1.5719619 ],[0.15888807 0.1189431  1.3842804 ],[0.09347107 0.31873995 1.4963424 ],[0.15724438 0.11450163 1.4145267 ],[0.41250342 0.6019144  1.501988  ],[0.3866921  0.78504443 1.5261974 ],[0.4103031  0.62929034 1.4745183 ],[0.22958235 0.59812343 1.4937562 ],[0.20103815 0.7715725  1.5561224 ],[0.22728854 0.62851405 1.4765439 ],[ 0.31727815 -0.08220699  1.4322175 ],[ 0.25759095 -0.0822061   1.4131653 ],[ 0.3982451  -0.06550279  1.3674351 ],[ 0.22913145 -0.06550029  1.3134538 ]
29,0,0,84.05035,OK,MOVING,0.33715,0.20378,1.46255,-0.36678,-0.23658,0.73977,0.53476,0.68769,0.53476,n/a sl::Mat not initialised,[ 0.27957657 -0.05756074  1.4825402 ],[0.33639854 0.11440951 1.4335593 ],[0.51521975 0.12131628 1.4461595 ],[0.5547113  0.35555622 1.4651206 ],[0.5727345  0.53346646 1.6083906 ],[0.15757734 0.10750267 1.4209594 ],[0.09008812 0.3065379  1.5332876 ],[0.15605652 0.10587558 1.4444846 ],[0.401729  0.5936545 1.5453675],[0.35572633 0.7726691  1.5734634 ],[0.3971637 0.6212872 1.5188485],[0.21927236 0.58648264 1.5353699 ],[0.18872952 0.7596414  1.5988915 ],[0.21678129 0.6172292  1.5179708 ],[ 0.3188078  -0.09374532  1.464337  ],[ 0.25939915 -0.09395489  1.4444861 ],[ 0.40028945 -0.07402688  1.4014518 ],[ 0.23196483 -0.07462072  1.3452082 ]
30,0,0,86.11076,OK,MOVING,0.33206,0.19553,1.49999,-0.34637,-0.24481,0.77182,0.53339,0.69129,0.53339,n/a sl::Mat not initialised,[ 0.27966684 -0.07309237  1.5112568 ],[0.33398822 0.10314804 1.4694215 ],[0.51235074 0.11228487 1.4843675 ],[0.54414254 0.34760198 1.5050623 ],[0.5544287 0.5277802 1.6463315],[0.15562566 0.09401125 1.4544756 ],[0.0859362  0.29243103 1.5666637 ],[0.15368505 0.09333083 1.4755802 ],[0.39123765 0.5814793  1.5890696 ],[0.33057418 0.7574234  1.6211827 ],[0.3851217  0.60958433 1.563303  ],[0.20922396 0.5717078  1.5766273 ],[0.17825712 0.7462183  1.6418558 ],[0.20687065 0.60309434 1.5589182 ],[ 0.31969625 -0.10787892  1.4924353 ],[ 0.26063716 -0.10818726  1.4715968 ],[ 0.40181285 -0.08470562  1.4319016 ],[ 0.2344788  -0.08557922  1.3728594 ]
31,0,0,85.16068,OK,MOVING,0.32724,0.18630,1.54002,-0.32762,-0.25465,0.80918,0.53219,0.69500,0.53219,n/a sl::Mat not initialised,[ 0.2813294  -0.08984774  1.5440758 ],[0.33133084 0.09022829 1.5078739 ],[0.5093404  0.10148689 1.5247931 ],[0.5343472  0.33750075 1.5472518 ],[0.5380721 0.5181697 1.6882821],[0.15332128 0.07896972 1.4909545 ],[0.08159965 0.27838045 1.6001502 ],[0.15089814 0.07814428 1.5126979 ],[0.38108042 0.56795883 1.6334561 ],[0.30951324 0.7426328  1.6682997 ],[0.3738032  0.59652495 1.6080254 ],[0.19941236 0.5557112  1.6191562 ],[0.16795601 0.73304284 1.6855712 ],[0.19713828 0.5878331  1.6008588 ],[ 0.32212013 -0.12312251  1.5245254 ],[ 0.26322818 -0.12390208  1.5032598 ],[ 0.4040857  -0.09651366  1.4655805 ],[ 0.23722526 -0.09872243  1.4053273 ]
32,0,0,86.83770,OK,MOVING,0.32374,0.17641,1.58108,-0.30692,-0.26429,0.84567,0.53099,0.69885,0.53099,n/a sl::Mat not initialised,[ 0.28294566 -0.10936531  1.5764682 ],[0.329279   0.07452205 1.5461681 ],[0.5070544  0.08789945 1.563835  ],[0.52510476 0.324284   1.5892072 ],[0.5230979 0.5040795 1.7314324],[0.15150355 0.06114468 1.528501  ],[0.07782215 0.26556554 1.6266357 ],[0.14867343 0.05377737 1.5748248 ],[0.37244323 0.5519976  1.6761104 ],[0.29384613 0.72766733 1.7132456 ],[0.36432537 0.5811173  1.6507201 ],[0.19102494 0.5373533  1.661078  ],[0.15763511 0.7182369  1.7287728 ],[0.18850599 0.5703057  1.6420718 ],[ 0.32445955 -0.14105877  1.556148  ],[ 0.2657234  -0.14225072  1.5344833 ],[ 0.4061968  -0.11103863  1.4987869 ],[ 0.23977779 -0.11441588  1.4374033 ]
33,0,0,91.67579,OK,MOVING,0.31961,0.16748,1.62390,-0.29168,-0.27018,0.86965,0.53140,0.70451,0.53140,n/a sl::Mat not initialised,[ 0.2833711 -0.1285525  1.6095239],[0.32644036 0.05781335 1.584401  ],[0.50398904 0.0738512  1.6021209 ],[0.5166045 0.3100709 1.6330093],[0.51088744 0.4869954  1.7789009 ],[0.1488917  0.04177555 1.5666811 ],[0.07352972 0.25400177 1.6453809 ],[0.1424546  0.03611809 1.6652634 ],[0.362114  0.5353606 1.7175171],[0.2799494  0.71436656 1.7611672 ],[0.3530289 0.5668306 1.6901029],[0.18098709 0.5178995  1.7026209 ],[0.14384682 0.702684   1.7745574 ],[0.17773154 0.554749   1.6790338 ],[ 0.3255421  -0.15876853  1.5886744 ],[ 0.26695946 -0.16044608  1.566634  ],[ 0.4070055  -0.12589449  1.5327022 ],[ 0.24102134 -0.13064745  1.4702538 ]
34,0,0,92.47371,OK,MOVING,0.31604,0.15954,1.66993,-0.27900,-0.27376,0.88470,0.53367,0.71233,0.53367,n/a sl::Mat not initialised,[ 0.28255424 -0.14651284  1.6455653 ],[0.32329017 0.04038721 1.6241039 ],[0.50072443 0.05860883 1.6410148 ],[0.50892615 0.29412794 1.679884  ],[0.50025296 0.46540576 1.8326327 ],[0.14585596 0.02216569 1.6071926 ],[0.06956334 0.24287644 1.6573281 ],[0.12637605 0.05439284 1.7756065 ],[0.3534336 0.5177171 1.7601111],[0.27174357 0.70225924 1.8108867 ],[0.3430682 0.5538069 1.7266681],[0.17250976 0.49800515 1.7464441 ],[0.13049836 0.68484783 1.8278816 ],[0.16807313 0.53601813 1.7246542 ],[ 0.32510167 -0.17564908  1.6243727 ],[ 0.2665843  -0.17769468  1.602195  ],[ 0.4062116  -0.14101177  1.5692017 ],[ 0.24041225 -0.14680752  1.5063648 ]
