frame,object,object_id,object_label,confidence,tracking_state,x,y,z,vx,xy,vz,width,height,length
31,2,1,Person,41.67480,OK,12.77766,-0.29430,30.07686,0.13891,0.00281,-0.09563,0.69778,1.45109,0.69778
32,1,4,Person,79.73633,OK,-6.94857,0.21821,15.28393,-0.94560,-0.04669,1.94302,1.07104,2.49305,1.07104
32,2,1,Person,33.88672,OK,12.77698,-0.29368,30.06938,0.12986,0.00257,-0.08940,0.69054,1.44933,0.69054
33,2,4,Person,79.73633,OK,-6.98407,0.20276,15.35249,-0.94560,-0.04670,1.94302,1.04685,2.48984,1.04685
33,3,1,Person,51.75781,OK,12.77992,-0.29306,30.06514,0.14346,0.00284,-0.09876,0.69146,1.45280,0.69146
34,1,4,Person,79.73633,OK,-7.01732,0.18779,15.41821,-0.94560,-0.04677,1.94302,1.02108,2.48701,1.02108
34,2,1,Person,42.82227,OK,12.78183,-0.29281,30.08126,0.08752,0.00174,-0.06025,0.69640,1.45383,0.69640
35,1,4,Person,79.73633,OK,-7.04997,0.17321,15.48347,-0.94560,-0.04678,1.94302,0.99394,2.48453,0.99394
35,2,1,Person,60.30273,OK,12.78613,-0.29238,30.09743,0.09818,0.00194,-0.06759,0.71184,1.46154,0.71185
36,2,4,Person,79.73633,OK,-7.08202,0.15914,15.54820,-0.94560,-0.04710,1.94301,0.96569,2.48238,0.96569
36,3,1,Person,53.12500,OK,12.80759,-0.29228,30.13765,0.16847,0.00336,-0.11598,0.71640,1.46059,0.71640
37,3,1,Person,43.87207,OK,12.81983,-0.29259,30.20663,0.21319,0.00429,-0.14677,0.71001,1.45763,0.71002
38,3,1,Person,50.68359,OK,12.82972,-0.29331,30.25275,0.23904,0.00478,-0.16456,0.71326,1.45645,0.71326
39,0,5,Person,80.32227,OK,-2.64786,-0.17024,5.61215,2.26505,0.11461,-4.75398,0.49987,1.04305,0.49987
39,3,1,Person,46.48438,OK,12.84671,-0.29444,30.29392,0.28032,0.00559,-0.19298,0.71089,1.45585,0.71089
40,0,5,Person,86.66992,OK,-2.64464,-0.15954,5.68808,1.83677,0.08279,-3.39940,0.49958,1.06854,0.49958
40,3,1,Person,46.09375,OK,12.86199,-0.29568,30.33969,0.16872,-0.00679,0.35368,0.71065,1.45748,0.71065
41,0,5,Person,84.47266,OK,-2.50871,-0.14130,5.41397,2.35062,0.10923,-4.45827,0.49932,1.09902,0.49932
41,3,1,Person,51.66016,OK,12.87261,-0.29656,30.36798,0.16576,-0.00716,0.36813,0.71582,1.46289,0.71582
42,0,5,Person,87.79297,OK,-2.41644,-0.12243,5.30219,2.35636,0.10325,-4.19124,0.49912,1.12781,0.49912
42,3,1,Person,45.50781,OK,12.87878,-0.29755,30.38946,0.15312,-0.00748,0.38056,0.71974,1.46331,0.71974
43,4,1,Person,48.43750,OK,12.87610,-0.29840,30.37393,0.11466,-0.00589,0.29862,0.73848,1.46262,0.73848
44,4,1,Person,53.41797,OK,12.87128,-0.29925,30.35974,0.05829,-0.00531,0.25741,0.76030,1.46037,0.76030
45,4,1,Person,54.98047,OK,12.84990,-0.29992,30.33004,0.00985,-0.00289,0.13600,0.77568,1.45829,0.77568
46,0,6,Person,91.60156,OK,-0.79265,0.13389,1.85579,0.34825,0.01163,-0.45038,0.50065,0.77169,0.50065
46,4,1,Person,47.26562,OK,12.82477,-0.30058,30.29321,0.05729,-0.00147,0.08105,0.76633,1.45661,0.76633
47,0,6,Person,92.28516,OK,-0.79057,0.13379,1.86625,0.19701,0.00042,0.02833,0.50053,0.77217,0.50053
47,4,1,Person,43.01758,OK,12.80261,-0.30120,30.26069,0.04770,-0.00121,0.06748,0.75288,1.45605,0.75288
48,0,6,Person,92.28516,OK,-0.79000,0.13357,1.88840,0.07626,0.00508,-0.21410,0.50045,0.77359,0.50045
48,4,1,Person,46.58203,OK,12.80040,-0.30155,30.24909,0.03816,-0.00098,0.05399,0.74893,1.46099,0.74893
49,0,6,Person,92.67578,OK,-0.79016,0.13322,1.91716,0.10422,0.00693,-0.29258,0.50039,0.77548,0.50039
49,4,1,Person,58.78906,OK,12.79853,-0.30164,30.24637,0.04693,-0.00121,0.06639,0.74078,1.46762,0.74078
50,0,6,Person,92.87109,OK,-0.79058,0.13273,1.94835,0.03432,-0.00820,0.38262,0.50034,0.77796,0.50034
50,4,1,Person,55.27344,OK,12.79668,-0.30161,30.24365,0.04188,-0.00108,0.05924,0.73650,1.47214,0.73650
51,0,6,Person,93.79883,OK,-0.79148,0.13213,1.97905,0.01252,-0.00958,0.44053,0.50030,0.78090,0.50030
51,4,1,Person,50.58594,OK,12.79410,-0.30126,30.23682,0.02725,-0.00070,0.03855,0.73011,1.47784,0.73011
52,0,6,Person,93.11523,OK,-0.79276,0.13139,2.01040,-0.00080,-0.01097,0.49805,0.50026,0.78440,0.50026
52,4,1,Person,56.20117,OK,12.78632,-0.30039,30.21786,0.02076,-0.00054,0.02936,0.72046,1.48255,0.72046
53,0,6,Person,92.87109,OK,-0.79488,0.13053,2.04363,-0.01903,-0.01237,0.55669,0.50023,0.78840,0.50023
53,4,1,Person,50.00000,OK,12.78716,-0.29937,30.21967,0.03332,-0.00087,0.04714,0.71523,1.48704,0.71523
54,0,6,Person,93.70117,OK,-0.79740,0.12958,2.07575,-0.02895,-0.01326,0.59758,0.50020,0.79270,0.50020
54,4,1,Person,49.51172,OK,12.78735,-0.29780,30.20895,0.01078,-0.00028,0.01525,0.70861,1.49054,0.70862
55,0,6,Person,93.31055,OK,-0.80197,0.12851,2.11887,-0.05446,-0.01545,0.69096,0.50210,0.79751,0.50210
55,4,1,Person,49.51172,OK,12.78785,-0.29571,30.17871,0.05523,-0.00143,0.07812,0.70312,1.49403,0.70312
56,0,6,Person,93.89648,OK,-0.80659,0.12744,2.15781,-0.06152,-0.01631,0.73225,0.50833,0.80246,0.50833
56,4,1,Person,55.46875,OK,12.78801,-0.29338,30.14779,0.07697,-0.00198,0.10889,0.69834,1.49775,0.69834
57,0,6,Person,93.40820,OK,-0.81080,0.12642,2.19222,-0.06415,-0.01657,0.75542,0.51831,0.80741,0.51831
57,4,1,Person,63.08594,OK,12.78890,-0.29071,30.10766,0.11905,-0.00301,0.16841,0.69846,1.50166,0.69846
58,0,6,Person,93.60352,OK,-0.81429,0.12547,2.22486,-0.06255,-0.01706,0.77488,0.53152,0.81242,0.53152
58,4,1,Person,58.88672,OK,12.78859,-0.28799,30.07380,0.13272,-0.00338,0.18775,0.69204,1.50449,0.69204
59,0,6,Person,94.09180,OK,-0.81804,0.12462,2.26416,-0.06754,-0.01812,0.82499,0.54578,0.81735,0.54578
59,4,1,Person,49.21875,OK,12.78864,-0.28581,30.06236,0.12353,-0.00313,0.17475,0.68585,1.50551,0.68585
60,0,6,Person,93.45703,OK,-0.82222,0.12388,2.30801,-0.07356,-0.01935,0.87896,0.55828,0.82231,0.55828
60,3,1,Person,53.61328,OK,12.79233,-0.28391,30.04614,0.14778,-0.00374,0.20905,0.68168,1.50728,0.68168
61,0,6,Person,93.84766,OK,-0.82644,0.12327,2.35314,-0.07681,-0.02044,0.92670,0.57025,0.82732,0.57024
61,3,1,Person,49.70703,OK,12.79351,-0.28221,30.04431,0.12394,-0.00316,0.17532,0.68106,1.50910,0.68107
62,0,6,Person,93.21289,OK,-0.83027,0.12281,2.39407,-0.07712,-0.02105,0.95164,0.58149,0.83247,0.58149
62,3,1,Person,54.98047,OK,12.78818,-0.28053,30.03127,0.12713,-0.00324,0.17984,0.68299,1.51092,0.68299
63,0,6,Person,93.75000,OK,-0.83464,0.12248,2.43639,-0.08309,-0.02180,0.98420,0.59063,0.83775,0.59063
63,3,1,Person,45.99609,OK,12.77597,-0.27865,30.01932,0.12949,-0.00330,0.18317,0.68809,1.51461,0.68809
64,0,6,Person,93.94531,OK,-0.83865,0.12224,2.48173,-0.08324,-0.02268,1.02556,0.59556,0.84342,0.59556
64,3,1,Person,42.62695,OK,12.75325,-0.27750,30.00706,0.14095,-0.00356,0.19939,0.68951,1.51112,0.68951
65,0,6,Person,93.40820,OK,-0.84198,0.12208,2.53147,-0.07971,-0.02381,1.07672,0.59765,0.84954,0.59765
65,3,1,Person,45.80078,OK,12.73203,-0.27682,29.99160,0.15494,-0.00394,0.21918,0.69083,1.50804,0.69083
66,0,6,Person,93.11523,OK,-0.84381,0.12196,2.57956,-0.06770,-0.02459,1.11166,0.59658,0.85611,0.59658
66,3,1,Person,48.14453,OK,12.70948,-0.27582,29.97481,0.17101,-0.00436,0.24191,0.69513,1.51133,0.69513
67,0,6,Person,92.48047,OK,-0.84425,0.12189,2.62473,-0.05036,-0.02478,1.13389,0.59377,0.86326,0.59377
67,3,1,Person,45.33691,OK,12.68789,-0.27444,29.94245,0.20096,-0.00509,0.28428,0.69696,1.51345,0.69696
68,0,6,Person,92.82227,OK,-0.84420,0.12186,2.67083,-0.03677,-0.02533,1.16011,0.58841,0.87101,0.58841
68,3,1,Person,37.30469,OK,12.66512,-0.27264,29.89693,-0.21392,0.00648,-0.35009,0.69338,1.51470,0.69338
69,0,6,Person,93.21289,OK,-0.84385,0.12187,2.72062,-0.02425,-0.02620,1.19819,0.58134,0.87934,0.58134
69,3,1,Person,43.11523,OK,12.64501,-0.27083,29.87407,-0.23879,0.00624,-0.34394,0.69629,1.51799,0.69629
70,0,6,Person,92.62695,OK,-0.84268,0.12191,2.76432,-0.00907,-0.02616,1.20380,0.57361,0.88801,0.57361
70,3,1,Person,39.79492,OK,12.62511,-0.26902,29.85919,-0.26600,0.00603,-0.33742,0.68891,1.52059,0.68891
71,0,6,Person,91.99219,OK,-0.84093,0.12202,2.80816,0.00118,-0.02658,1.21530,0.56490,0.89697,0.56490
71,3,1,Person,39.42871,OK,12.60271,-0.26734,29.84536,-0.29957,0.00584,-0.33554,0.69332,1.52202,0.69332
72,0,6,Person,92.04102,OK,-0.83816,0.12220,2.84825,0.01460,-0.02620,1.21025,0.55592,0.90606,0.55592
72,3,1,Person,38.03711,OK,12.59527,-0.26623,29.84298,-0.27430,0.00536,-0.31154,0.68896,1.51975,0.68897
73,0,6,Person,91.50391,OK,-0.83394,0.12248,2.88503,0.03056,-0.02567,1.19536,0.54772,0.91515,0.54772
73,3,1,Person,39.69727,OK,12.58203,-0.26568,29.84787,-0.30727,0.00416,-0.26480,0.68342,1.51645,0.68341
74,0,6,Person,92.08984,OK,-0.82798,0.12288,2.92095,0.04873,-0.02541,1.18183,0.53912,0.92402,0.53912
74,3,1,Person,42.06543,OK,12.57116,-0.26549,29.85119,-0.30930,0.00372,-0.24625,0.68068,1.51127,0.68068
