Legende;Spiel;Martin Schlag;Petr Schlag;Error/Winner;"Game (Martin;Petr)";"Punkt (Martin;Petr)";Bemerkung;Frame;Objekt;Objekt ID;Objektlabel;Konfidenz;Trackingstatus;x;y;z;vx;xy;vz
;1;0;0;0;"99;99";"99;99";;265;0;3;Person;90.6738;OK;-2.59071;0.0590155;4.4703;-0.413139;-0.000977023;0.0155175
;1;0;0;0;"99;99";"99;99";;265;1;1;Person;41.3086;OK;2.35852;-2.80952;25.1351;0.473791;-0.0214729;0.172055
;1;0;0;0;"99;99";"99;99";;266;0;3;Person;90.1367;OK;-2.60917;0.0603425;4.46924;-0.420397;-0.00261113;0.0295118
;1;0;0;0;"99;99";"99;99";;266;1;1;Person;47.168;OK;2.378;-2.79547;25.0389;0.491275;-0.00834575;0.0608739
;1;0;0;0;"99;99";"99;99";;267;0;3;Person;89.7949;OK;-2.6268;0.0615279;4.46914;-0.426122;-0.00547929;0.053837
;1;0;0;0;"99;99";"99;99";;267;1;1;Person;46.1914;OK;2.39044;-2.77526;24.8593;0.487987;0.0243637;-0.214934
;1;0;0;0;"99;99";"99;99";;268;0;3;Person;89.3555;OK;-2.64276;0.062718;4.4696;-0.427006;-0.00620613;0.060162
;1;0;0;0;"99;99";"99;99";;268;1;1;Person;35.0342;OK;2.39961;-2.75917;24.7401;0.474445;0.0411537;-0.357058
;1;0;0;0;"99;99";"99;99";;269;0;3;Person;89.4531;OK;-2.65607;0.0638594;4.47107;-0.41966;-0.0075379;0.0718314
;1;0;0;0;"99;99";"99;99";;269;1;1;Person;25.1709;OK;2.41022;-2.74935;24.6985;0.467356;0.0438572;-0.380036
;1;0;0;0;"99;99";"99;99";;270;0;3;Person;88.5254;OK;-2.66826;0.0648751;4.47535;-0.41246;-0.0108548;0.100088
;1;0;0;0;"99;99";"99;99";;270;1;1;Person;27.4414;OK;2.42236;-2.74078;24.6409;0.467757;0.052182;-0.451017
;1;0;0;0;"99;99";"99;99";;271;0;3;Person;87.8906;OK;-2.67914;0.0656653;4.48497;-0.401672;-0.0161448;0.144278
;1;0;0;0;"99;99";"99;99";;271;1;1;Person;34.9609;OK;2.42998;-2.73838;24.6797;0.429118;0.0384442;-0.333662
;1;0;0;0;"99;99";"99;99";;272;0;3;Person;89.7461;OK;-2.69144;0.0661181;4.50433;-0.40017;-0.0245463;0.215142
;1;0;0;0;"99;99";"99;99";;272;1;1;Person;33.2031;OK;2.43628;-2.73859;24.7245;0.39954;0.0268453;-0.23493
;1;0;0;0;"99;99";"99;99";;273;0;3;Person;89.0625;OK;-2.70348;0.066415;4.52738;-0.394941;-0.0304882;0.264714
;1;0;0;0;"99;99";"99;99";;273;1;1;Person;33.1055;OK;2.44524;-2.74006;24.7685;0.387549;0.0120692;-0.109753
;1;0;0;0;"99;99";"99;99";;274;0;3;Person;85.6445;OK;-2.72075;0.0662638;4.57787;-0.362715;-0.0421466;0.361417
;1;0;0;0;"99;99";"99;99";;274;1;1;Person;30.9814;OK;2.46697;-2.74172;24.7987;0.381468;0.0107818;-0.0977432
;1;0;0;0;"99;99";"99;99";;275;0;3;Person;84.5703;OK;-2.72588;0.0658381;4.61437;-0.33328;-0.0532173;0.454605
;1;0;0;0;"99;99";"99;99";;275;1;1;Person;38.0371;OK;2.47818;-2.74259;24.8055;0.374429;0.00456878;-0.0452495
;1;0;0;0;"99;99";"99;99";;276;0;3;Person;87.1094;OK;-2.72896;0.0649275;4.6533;-0.304854;-0.0618344;0.528339
;1;0;0;0;"99;99";"99;99";;276;1;1;Person;36.7432;OK;2.48593;-2.74332;24.81;0.353414;0.00373108;-0.0379797
;1;0;0;0;"99;99";"99;99";;277;0;3;Person;87.1094;OK;-2.73332;0.0640515;4.67631;-0.296618;-0.0603246;0.514187
;1;0;0;0;"99;99";"99;99";;277;1;1;Person;23.23;OK;2.48766;-2.74623;24.8924;0.296187;-0.0145314;0.117583
;1;BT;0;0;"99;99";"99;99";;278;0;3;Person;86.9141;OK;-2.73687;0.0624705;4.71058;-0.27614;-0.0692344;0.588783
;1;BT;0;0;"99;99";"99;99";;278;1;1;Person;23.6572;OK;2.49024;-2.74237;24.75;0.314728;0.0346798;-0.298178
;1;BT;0;0;"99;99";"99;99";;279;0;3;Person;86.6699;OK;-2.74075;0.0601111;4.74658;-0.263209;-0.0756082;0.641494
;1;BT;0;0;"99;99";"99;99";;279;1;1;Person;24.939;OK;2.49175;-2.73649;24.633;0.297089;0.049192;-0.419632
;1;BT;0;0;"99;99";"99;99";;280;0;3;Person;87.5977;OK;-2.74514;0.0570676;4.78095;-0.253916;-0.0800284;0.679194
;1;BT;0;0;"99;99";"99;99";;280;1;1;Person;23.3032;OK;2.49022;-2.71802;24.3725;0.271655;0.0936099;-0.794251
;1;BT;0;0;"99;99";"99;99";;281;0;3;Person;83.3984;OK;-2.74959;0.0533746;4.81289;-0.244204;-0.08318;0.705436
;1;BT;0;0;"99;99";"99;99";;281;1;1;Person;24.2188;OK;2.48878;-2.70129;24.2431;0.230942;0.107083;-0.906912
;1;BT;0;0;"99;99";"99;99";;282;0;3;Person;83.2031;OK;-2.75486;0.0489797;4.8447;-0.239935;-0.0862714;0.731675
;1;BT;0;0;"99;99";"99;99";;282;1;1;Person;27.832;OK;2.48653;-2.69183;24.2091;0.195835;0.104663;-0.88614
;1;BT;0;0;"99;99";"99;99";;283;0;3;Person;87.5488;OK;-2.75988;0.0444454;4.87107;-0.232168;-0.0861844;0.73091
;1;BT;0;0;"99;99";"99;99";;283;1;1;Person;28.6133;OK;2.48556;-2.67906;24.0885;0.222006;0.123471;-1.04524
;1;BT;0;0;"99;99";"99;99";;284;0;3;Person;87.5488;OK;-2.76645;0.0392037;4.89499;-0.235414;-0.0857891;0.727035
;1;BT;0;0;"99;99";"99;99";;284;1;1;Person;21.6064;OK;2.48816;-2.66999;24.0355;0.244971;0.124785;-1.05586
;1;BT;0;0;"99;99";"99;99";;285;0;3;Person;89.7461;OK;-2.77303;0.0332984;4.91189;-0.233392;-0.0818839;0.694602
;1;BT;0;0;"99;99";"99;99";;285;1;1;Person;21.6064;OK;2.49254;-2.66347;23.9977;0.244969;0.12469;-1.05587
;1;BT;0;0;"99;99";"99;99";;286;0;3;Person;90.0879;OK;-2.77812;0.0272965;4.9217;-0.223398;-0.0757628;0.64212
;1;BT;0;0;"99;99";"99;99";;286;1;1;Person;22.3389;OK;2.51858;-2.66093;24.0095;0.332136;0.114702;-0.972185
;1;BT;0;0;"99;99";"99;99";;287;0;3;Person;90.1367;OK;-2.78163;0.0219773;4.92587;-0.20966;-0.0679681;0.576735
;1;BT;0;0;"99;99";"99;99";;287;1;1;Person;22.3389;OK;2.53781;-2.65825;23.9872;0.332134;0.1146;-0.972198
;1;BT;0;0;"99;99";"99;99";;288;0;3;Person;90.918;OK;-2.78285;0.0176534;4.92497;-0.186198;-0.058875;0.498986
;1;BT;0;0;"99;99";"99;99";;288;1;1;Person;21.0815;OK;2.54716;-2.65502;23.9545;0.304565;0.115363;-0.976788
;1;BT;0;0;"99;99";"99;99";;289;0;3;Person;89.7949;OK;-2.7831;0.0145758;4.92096;-0.167021;-0.0493398;0.417957
;1;BT;0;0;"99;99";"99;99";;289;1;1;Person;21.0083;OK;2.56235;-2.65547;24.0014;0.316767;0.0947347;-0.802563
;1;BT;0;0;"99;99";"99;99";;290;0;3;Person;88.2812;OK;-2.7837;0.0123401;4.9169;-0.16091;-0.0416634;0.353511
;1;BT;0;0;"99;99";"99;99";;290;1;1;Person;21.0083;OK;2.57544;-2.65535;24.0028;0.316765;0.0946732;-0.802571
;1;0;0;0;"99;99";"99;99";;291;0;3;Person;89.502;OK;-2.78419;0.0114635;4.91183;-0.15184;-0.029607;0.252059
;1;0;0;0;"99;99";"99;99";;291;1;1;Person;21.0083;OK;2.58731;-2.65468;23.9865;0.316764;0.0945958;-0.802581
;1;0;0;0;"99;99";"99;99";;292;0;3;Person;90.5762;OK;-2.78443;0.0111309;4.90793;-0.140161;-0.0205236;0.175285
;1;0;0;0;"99;99";"99;99";;292;1;1;Person;23.8647;OK;2.61589;-2.65225;23.9354;0.386359;0.101425;-0.861167
;1;0;0;0;"99;99";"99;99";;293;0;3;Person;90.918;OK;-2.78402;0.0111438;4.89523;-0.115126;-0.0111476;0.0958188
;1;0;0;0;"99;99";"99;99";;293;1;1;Person;27.1973;OK;2.62715;-2.65201;23.9566;0.342877;0.0853784;-0.724709
;1;0;0;0;"99;99";"99;99";;294;0;3;Person;89.502;OK;-2.78118;0.0114066;4.86852;-0.0285382;-0.00877309;0.0744054
;1;0;0;0;"99;99";"99;99";;294;1;1;Person;35.1318;OK;2.64413;-2.65154;23.9677;0.363048;0.0806632;-0.686228
;1;0;0;0;"99;99";"99;99";;295;0;3;Person;85.2539;OK;-2.77464;0.0121188;4.83209;-0.0452046;-0.0139023;0.117839
;1;0;0;0;"99;99";"99;99";;295;1;1;Person;31.4941;OK;2.66204;-2.65189;23.976;0.367949;0.0667389;-0.568639
;1;0;0;0;"99;99";"99;99";;296;0;3;Person;83.5938;OK;-2.77454;0.013003;4.80558;-0.064145;-0.0197227;0.167196
;1;0;0;0;"99;99";"99;99";;296;1;1;Person;35.8398;OK;2.67875;-2.65442;24.0696;0.362758;0.0464721;-0.398118
;1;0;0;0;"99;99";"99;99";;297;0;3;Person;81.6406;OK;-2.77501;0.0144638;4.77375;-0.092913;-0.0286113;0.24218
;1;0;0;0;"99;99";"99;99";;297;1;1;Person;25.8301;OK;2.67834;-2.6609;24.1922;0.283429;0.0268747;-0.231009
;1;0;0;0;"99;99";"99;99";;298;0;3;Person;85.5469;OK;-2.7772;0.0166373;4.74047;-0.11475;-0.0392577;0.304179
;1;0;0;0;"99;99";"99;99";;298;1;1;Person;20.6909;OK;2.68138;-2.67128;24.3147;0.242433;-0.0156717;-0.072028
;1;0;0;0;"99;99";"99;99";;299;0;3;Person;85.5469;OK;-2.78004;0.0195759;4.70672;-0.112749;0.0510152;-0.39156
;1;0;0;0;"99;99";"99;99";;299;1;1;Person;20.6909;OK;2.68717;-2.67797;24.3418;0.2976;-0.0143623;-0.0893735
;1;0;0;0;"99;99";"99;99";;300;0;3;Person;85.8398;OK;-2.77861;0.0237817;4.65798;-0.0573802;0.0670604;-0.508572
;1;0;0;0;"99;99";"99;99";;300;1;1;Person;21.8018;OK;2.69891;-2.68777;24.4294;0.296714;-0.00259093;0.0728448
;1;0;0;0;"99;99";"99;99";;301;0;3;Person;85.6934;OK;-2.77011;0.0289658;4.60621;-0.00575825;0.0735158;-0.616779
;1;0;0;0;"99;99";"99;99";;301;1;1;Person;25.1709;OK;2.71977;-2.69732;24.4942;0.299157;-0.0197461;0.150495
;1;0;0;0;"99;99";"99;99";;302;0;3;Person;86.4746;OK;-2.75551;0.0344393;4.55752;0.0372291;0.0790283;-0.69158
;1;0;0;0;"99;99";"99;99";;302;1;1;Person;26.0498;OK;2.74401;-2.7092;24.5888;0.335914;-0.0326896;0.27896
;1;0;0;0;"99;99";"99;99";;303;0;3;Person;88.4277;OK;-2.72733;0.0437612;4.48743;0.0914163;0.0916109;-0.743496
;1;0;0;0;"99;99";"99;99";;303;1;1;Person;26.0498;OK;2.77551;-2.71995;24.6257;0.366382;-0.0345611;0.275167
;1;0;0;0;"99;99";"99;99";;304;0;3;Person;87.3535;OK;-2.7078;0.0483298;4.44721;0.129536;0.0967709;-0.80571
;1;0;0;0;"99;99";"99;99";;304;1;1;Person;26.0498;OK;2.78791;-2.7238;24.637;0.291582;-0.0401347;0.28258
;1;0;0;0;"99;99";"99;99";;305;0;3;Person;87.9395;OK;-2.6858;0.0526429;4.40728;0.180411;0.106952;-0.837139
;1;0;0;0;"99;99";"99;99";;305;1;1;Person;26.0498;OK;2.79993;-2.72624;24.6466;0.355687;0.00513131;0.281534
;1;0;0;0;"99;99";"99;99";;306;0;3;Person;85.1074;OK;-2.66473;0.0565771;4.36707;0.20641;0.103484;-0.875511
;1;0;0;0;"99;99";"99;99";;306;1;1;Person;26.0498;OK;2.81131;-2.72812;24.6557;0.331775;-0.02542;0.283266
;1;0;0;0;"99;99";"99;99";;307;0;3;Person;88.1348;OK;-2.64636;0.0601577;4.32909;0.227025;0.103902;-0.904349
;1;0;0;0;"99;99";"99;99";;307;1;1;Person;26.0498;OK;2.82261;-2.72981;24.6645;0.341351;-0.0428888;0.27293
;1;0;0;0;"99;99";"99;99";;308;0;3;Person;86.5234;OK;-2.62941;0.0636114;4.29315;0.243908;0.106198;-0.919301
;1;0;0;0;"99;99";"99;99";;308;1;1;Person;25.3174;OK;2.78453;-2.71501;24.3257;0.10316;0.0212692;-0.302327
;1;0;0;0;"99;99";"99;99";;309;0;3;Person;86.1328;OK;-2.61249;0.066979;4.25541;0.265829;0.111068;-0.938877
;1;0;0;0;"99;99";"99;99";;309;1;1;Person;24.5117;OK;2.71753;-2.69575;24.0855;0.00226693;0.0663079;-0.531744
;1;0;0;0;"99;99";"99;99";;310;0;3;Person;85.0098;OK;-2.59384;0.07037;4.22038;0.293985;0.112933;-0.943729
;1;0;0;0;"99;99";"99;99";;310;1;1;Person;21.5332;OK;2.62565;-2.6921;24.1475;-0.173735;0.0325997;-0.329921
;1;0;0;0;"99;99";"99;99";;311;0;3;Person;84.8145;OK;-2.57486;0.074299;4.18217;0.311516;0.115718;-0.97221
;1;0;0;0;"99;99";"99;99";;311;1;1;Person;21.5332;OK;2.59096;-2.6893;24.156;-0.22882;0.0509777;-0.318272
;1;0;0;0;"99;99";"99;99";;312;0;3;Person;86.2793;OK;-2.55613;0.0785669;4.14389;0.328134;0.113584;-0.976567
;1;0;0;0;"99;99";"99;99";;312;1;1;Person;29.5898;OK;2.54561;-2.68979;24.1981;-0.248329;0.0386501;-0.116719
;1;0;0;0;"99;99";"99;99";;313;0;3;Person;86.084;OK;-2.53919;0.0831266;4.10677;0.341899;0.116731;-1.01385
;1;0;0;0;"99;99";"99;99";;313;1;1;Person;29.3457;OK;2.50125;-2.69446;24.3679;-0.411441;-0.0365129;0.0945347
;1;0;0;0;"99;99";"99;99";;314;0;3;Person;87.3535;OK;-2.52313;0.0880121;4.07173;0.348539;0.113017;-0.982774
;1;0;0;0;"99;99";"99;99";;314;1;1;Person;30.1514;OK;2.4637;-2.70472;24.5482;-0.421361;-0.00823736;0.301371
;1;0;0;0;"99;99";"99;99";;315;0;3;Person;87.8906;OK;-2.50726;0.0934519;4.03466;0.369811;0.121995;-1.03508
;1;0;0;0;"99;99";"99;99";;315;1;1;Person;33.9844;OK;2.43633;-2.71757;24.6818;-0.513578;-0.0918879;0.398629
;1;0;0;0;"99;99";"99;99";;316;0;3;Person;88.1836;OK;-2.49228;0.099163;3.99691;0.371338;0.124781;-1.02843
;1;0;0;0;"99;99";"99;99";;316;1;1;Person;35.7666;OK;2.4186;-2.73044;24.7952;-0.445848;-0.053836;0.524089
;1;0;0;0;"99;99";"99;99";;317;0;3;Person;88.6719;OK;-2.47912;0.104862;3.961;0.365029;0.122503;-1.03652
;1;0;0;0;"99;99";"99;99";;317;1;1;Person;40.6494;OK;2.4044;-2.74191;24.8814;-0.497318;-0.0555077;0.60989
;1;0;0;0;"99;99";"99;99";;318;0;3;Person;87.8906;OK;-2.46743;0.110366;3.92578;0.354383;0.118027;-1.02607
;1;0;0;0;"99;99";"99;99";;318;1;1;Person;44.6533;OK;2.38366;-2.74131;24.7757;-0.418167;-0.0104655;0.298672
;1;0;FT;0;"99;99";"99;99";;319;0;3;Person;88.0371;OK;-2.45706;0.115478;3.8915;0.352615;0.118451;-1.03679
;1;0;FT;0;"99;99";"99;99";;319;1;1;Person;46.2891;OK;2.35528;-2.74318;24.7691;-0.536015;-0.0858243;0.388821
;1;0;FT;0;"99;99";"99;99";;320;0;3;Person;87.793;OK;-2.44798;0.120008;3.85966;0.34626;0.119397;-1.01562
;1;0;FT;0;"99;99";"99;99";;320;1;1;Person;43.5059;OK;2.33127;-2.74791;24.8281;-0.529374;-0.0323907;0.500081
;1;0;FT;0;"99;99";"99;99";;321;0;3;Person;87.9395;OK;-2.44006;0.124033;3.82644;0.336819;0.121614;-1.02973
;1;0;FT;0;"99;99";"99;99";;321;1;1;Person;46.2891;OK;2.30586;-2.74767;24.7865;-0.552134;-0.0524736;0.286357
;1;0;FT;0;"99;99";"99;99";;322;0;3;Person;88.623;OK;-2.43359;0.127383;3.79707;0.331491;0.120084;-1.0074
;1;0;FT;0;"99;99";"99;99";;322;1;1;Person;40.2588;OK;2.292;-2.74677;24.743;-0.532217;-0.0244648;0.1798
;1;0;FT;0;"99;99";"99;99";;323;0;3;Person;89.0137;OK;-2.42984;0.130058;3.77041;0.302769;0.11669;-0.976929
;1;0;FT;0;"99;99";"99;99";;323;1;1;Person;45.6055;OK;2.28834;-2.74599;24.7166;-0.424574;-0.00214181;0.165269
;1;0;FT;0;"99;99";"99;99";;324;0;3;Person;89.0137;OK;-2.42591;0.132229;3.74545;0.286463;0.111238;-0.951317
;1;0;FT;0;"99;99";"99;99";;324;1;1;Person;45.6055;OK;2.27675;-2.74537;24.6968;-0.461291;-0.0235111;0.155334
;1;0;FT;0;"99;99";"99;99";;325;0;3;Person;89.9414;OK;-2.42239;0.134142;3.72128;0.274936;0.11161;-0.926616
;1;0;FT;0;"99;99";"99;99";;325;1;1;Person;48.7305;OK;2.25977;-2.74314;24.6406;-0.458335;-0.0209214;0.0635322
;1;0;FT;0;"99;99";"99;99";;326;0;3;Person;91.6992;OK;-2.41969;0.135865;3.70054;0.249301;0.102006;-0.881724
;1;0;FT;0;"99;99";"99;99";;326;1;1;Person;51.9531;OK;2.24919;-2.73565;24.5127;-0.421381;0.0382228;-0.105313
;1;0;FT;0;"99;99";"99;99";;327;0;3;Person;92.0898;OK;-2.41829;0.137698;3.68094;0.232633;0.100073;-0.856497
;1;0;FT;0;"99;99";"99;99";;327;1;1;Person;53.7109;OK;2.23503;-2.71861;24.3101;-0.417645;0.044924;-0.381409
;1;0;FT;0;"99;99";"99;99";;328;0;3;Person;91.7969;OK;-2.42117;0.142517;3.6396;0.135735;0.0960082;-0.815083
;1;0;FT;0;"99;99";"99;99";;328;1;1;Person;46.4844;OK;2.21917;-2.6911;24.0871;-0.355371;0.0748669;-0.628413
;1;0;FT;0;"99;99";"99;99";;329;0;3;Person;91.748;OK;-2.43421;0.145162;3.62292;0.0547721;0.0915049;-0.77865
;1;0;FT;0;"99;99";"99;99";;329;1;1;Person;46.9727;OK;2.21115;-2.68057;24.0324;-0.345149;0.0783193;-0.660825
;1;0;FT;0;"99;99";"99;99";;330;0;3;Person;91.4062;OK;-2.44292;0.147666;3.6145;0.0516656;0.0827534;-0.705883
;1;0;FT;0;"99;99";"99;99";;330;1;1;Person;43.5791;OK;2.19945;-2.67534;24.0291;-0.35869;0.0728937;-0.615638
;1;0;FT;0;"99;99";"99;99";;331;0;3;Person;91.1621;OK;-2.44888;0.15182;3.60016;0.06221;0.0702021;-0.596019
;1;0;FT;0;"99;99";"99;99";;331;1;1;Person;44.6533;OK;2.18025;-2.66831;23.9968;-0.342592;0.0727618;-0.610705
;1;0;FT;0;"99;99";"99;99";;332;0;3;Person;91.4551;OK;-2.44916;0.153464;3.59992;0.0861591;0.059421;-0.507171
;1;0;FT;0;"99;99";"99;99";;332;1;1;Person;39.6973;OK;2.17148;-2.65962;23.8667;-0.31961;0.0967672;-0.815263
;1;0;FT;0;"99;99";"99;99";;333;0;3;Person;91.6992;OK;-2.44939;0.154722;3.60152;0.0833656;0.0510335;-0.435739
;1;0;FT;0;"99;99";"99;99";;333;1;1;Person;46.6797;OK;2.15779;-2.65334;23.8315;-0.340861;0.0943277;-0.793151
;1;0;FT;0;"99;99";"99;99";;334;0;3;Person;89.7949;OK;-2.44813;0.155635;3.60317;0.105497;0.0441883;-0.377604
;1;0;FT;0;"99;99";"99;99";;334;1;1;Person;49.8047;OK;2.14425;-2.64968;23.8374;-0.350384;0.0864529;-0.725164
;1;0;0;0;"99;99";"99;99";;335;0;3;Person;89.209;OK;-2.44674;0.156304;3.60471;0.103838;0.0383438;-0.328436
;1;0;0;0;"99;99";"99;99";;335;1;1;Person;44.9463;OK;2.13205;-2.64412;23.7844;-0.343207;0.095243;-0.799558
;1;0;0;0;"99;99";"99;99";;336;0;3;Person;91.1621;OK;-2.43863;0.156756;3.60668;0.150473;0.0318544;-0.274068
;1;0;0;0;"99;99";"99;99";;336;1;1;Person;47.6562;OK;2.11107;-2.64145;23.7918;-0.389541;0.0852901;-0.713715
;1;0;0;0;"99;99";"99;99";;337;0;3;Person;88.4277;OK;-2.42397;0.157194;3.6085;0.190991;0.0267321;-0.23114
;1;0;0;0;"99;99";"99;99";;337;1;1;Person;47.3633;OK;2.08367;-2.64106;23.8247;-0.441619;0.0707076;-0.588594
;1;0;0;0;"99;99";"99;99";;338;0;3;Person;86.084;OK;-2.40426;0.157707;3.61022;0.230396;0.0215904;-0.188464
;1;0;0;0;"99;99";"99;99";;338;1;1;Person;47.3633;OK;2.06761;-2.64126;23.8489;-0.429139;0.0609075;-0.506514
;1;0;0;0;"99;99";"99;99";;339;0;3;Person;88.2812;OK;-2.38066;0.158262;3.6115;0.271548;0.0165739;-0.147313
;1;0;0;0;"99;99";"99;99";;339;1;1;Person;51.1719;OK;2.05106;-2.64163;23.8624;-0.439761;0.0530945;-0.440308
;1;0;0;0;"99;99";"99;99";;340;0;3;Person;89.502;OK;-2.354;0.158857;3.61369;0.31496;0.0122694;-0.111758
;1;0;0;0;"99;99";"99;99";;340;1;1;Person;54.0039;OK;2.03257;-2.6419;23.8688;-0.455156;0.048389;-0.400188
;1;0;0;0;"99;99";"99;99";;341;0;3;Person;91.4062;OK;-2.3275;0.159509;3.61715;0.349444;0.00847532;-0.0805952
;1;0;0;0;"99;99";"99;99";;341;1;1;Person;57.0801;OK;2.02005;-2.64302;23.9395;-0.447287;0.0299709;-0.245176
;1;0;0;0;"99;99";"99;99";;342;0;3;Person;92.627;OK;-2.29901;0.160215;3.62193;0.390668;0.00478437;-0.0501873
;1;0;0;0;"99;99";"99;99";;342;1;1;Person;54.2969;OK;2.01521;-2.64534;24.0258;-0.413309;0.0159344;-0.127509
;1;0;0;0;"99;99";"99;99";;343;0;3;Person;92.4316;OK;-2.27325;0.160858;3.63085;0.416397;-0.00108762;-0.000208813
;1;0;0;0;"99;99";"99;99";;343;1;1;Person;54.7852;OK;2.0083;-2.64645;24.0502;-0.402033;0.0169602;-0.136909
;1;0;0;0;"99;99";"99;99";;344;0;3;Person;92.7734;OK;-2.24838;0.161437;3.64321;0.441726;-0.00663328;0.0458411
;1;0;0;0;"99;99";"99;99";;344;1;1;Person;54.1992;OK;1.99881;-2.6478;24.0814;-0.403401;0.0101598;-0.0790252
;1;0;0;0;"99;99";"99;99";;345;0;3;Person;92.9199;OK;-2.22423;0.161883;3.65894;0.464378;-0.0123716;0.0944801
;1;0;0;0;"99;99";"99;99";;345;1;1;Person;51.0742;OK;1.99406;-2.64904;24.1041;-0.371794;0.00662928;-0.0502232
;1;0;0;0;"99;99";"99;99";;346;0;3;Person;92.3828;OK;-2.19096;0.162109;3.68182;0.520178;-0.0211493;0.168418
;1;0;0;0;"99;99";"99;99";;346;1;1;Person;54.5898;OK;1.98544;-2.65241;24.1715;-0.382488;-0.0086908;0.0791303
;1;0;0;0;"99;99";"99;99";;347;0;3;Person;92.041;OK;-2.15156;0.162191;3.70827;0.580002;-0.0290726;0.23453
;1;0;0;0;"99;99";"99;99";;347;1;1;Person;55.5664;OK;1.98582;-2.65464;24.1951;-0.318469;-0.00880626;0.0787558
;1;0;0;0;"99;99";"99;99";;348;0;3;Person;91.2598;OK;-2.10613;0.162168;3.73329;0.647073;-0.0345751;0.280125
;1;0;0;0;"99;99";"99;99";;348;1;1;Person;53.3203;OK;1.9797;-2.65854;24.2541;-0.341228;-0.0211724;0.183481
;1;0;0;0;"99;99";"99;99";;349;0;3;Person;90.2832;OK;-2.05763;0.16208;3.75305;0.712097;-0.0368943;0.299311
;1;0;0;0;"99;99";"99;99";;349;1;1;Person;53.0273;OK;1.96961;-2.66214;24.2872;-0.351433;-0.0240205;0.208413
;1;0;0;0;"99;99";"99;99";;350;0;3;Person;88.7695;OK;-2.00865;0.161934;3.77049;0.771768;-0.0391875;0.318148
;1;0;0;0;"99;99";"99;99";;350;1;1;Person;46.9727;OK;1.9643;-2.66404;24.2736;-0.317106;-0.0157783;0.137759
;1;0;0;0;"99;99";"99;99";;351;0;3;Person;90.2832;OK;-1.96405;0.161644;3.78975;0.812627;-0.0430693;0.34986
;1;0;0;0;"99;99";"99;99";;351;1;1;Person;44.751;OK;1.96114;-2.66413;24.2643;-0.282144;0.00134397;-0.00749346
;1;0;0;0;"99;99";"99;99";;352;0;3;Person;89.0137;OK;-1.92096;0.161142;3.81002;0.850164;-0.0466727;0.379422
;1;0;0;0;"99;99";"99;99";;352;1;1;Person;46.9727;OK;1.95893;-2.66506;24.2455;-0.263949;-0.00448296;0.0417042
;1;0;0;0;"99;99";"99;99";;353;0;3;Person;88.1836;OK;-1.88064;0.160299;3.83016;0.877384;-0.0495875;0.403062
;1;0;0;0;"99;99";"99;99";;353;1;1;Person;49.9023;OK;1.95925;-2.66476;24.1849;-0.216179;0.0126204;-0.103409
;1;0;0;0;"99;99";"99;99";;354;0;3;Person;88.6719;OK;-1.84416;0.159076;3.85054;0.89202;-0.0524051;0.425056
;1;0;0;0;"99;99";"99;99";;354;1;1;Person;50.0977;OK;1.95813;-2.666;24.1894;-0.221526;-0.00388;0.0362837
;1;0;0;0;"99;99";"99;99";;355;0;3;Person;89.0137;OK;-1.8105;0.157377;3.87015;0.900073;-0.0544967;0.440912
;1;0;0;0;"99;99";"99;99";;355;1;1;Person;49.6094;OK;1.95922;-2.66811;24.2081;-0.172827;-0.00948922;0.0826581
;1;0;0;0;"99;99";"99;99";;356;0;3;Person;89.3066;OK;-1.78211;0.155159;3.89156;0.892193;-0.0571309;0.465177
;1;0;0;0;"99;99";"99;99";;356;1;1;Person;50.4883;OK;1.96304;-2.67284;24.2749;-0.241004;-0.00173504;0.0185211
;1;0;0;0;"99;99";"99;99";;357;0;3;Person;88.0371;OK;-1.75541;0.152437;3.91221;0.884066;-0.0588461;0.479266
;1;0;0;0;"99;99";"99;99";;357;1;1;Person;50.6836;OK;1.97429;-2.67925;24.3543;-0.310949;-0.00221956;0.0238674
;1;0;0;0;"99;99";"99;99";;358;0;3;Person;90.9668;OK;-1.73128;0.149309;3.93379;0.869977;-0.0610182;0.498711
;1;0;0;0;"99;99";"99;99";;358;1;1;Person;51.4648;OK;1.99484;-2.68369;24.3851;-0.00485097;-0.0353378;0.297786
;1;0;0;0;"99;99";"99;99";;359;0;3;Person;91.2109;OK;-1.71075;0.145959;3.95461;0.8462;-0.0623583;0.509208
;1;0;0;0;"99;99";"99;99";;359;1;1;Person;49.0234;OK;2.01451;-2.68354;24.3744;0.0462974;-0.0101455;0.0843678
;1;0;0;0;"99;99";"99;99";;360;0;3;Person;91.1621;OK;-1.69206;0.142363;3.97764;0.822491;-0.0648899;0.531977
;1;0;0;0;"99;99";"99;99";;360;1;1;Person;49.2188;OK;2.03161;-2.67976;24.2097;-0.152466;-0.00936637;0.0816802
;1;0;0;0;"99;99";"99;99";;361;0;3;Person;90.8203;OK;-1.67444;0.138527;4.0025;0.798559;-0.0676218;0.556276
;1;0;0;0;"99;99";"99;99";;361;1;1;Person;47.6562;OK;2.04504;-2.67904;24.1995;-0.0903063;-0.00556957;0.0483844
;1;0;0;0;"99;99";"99;99";;362;0;3;Person;90.3809;OK;-1.65682;0.134489;4.02942;0.778002;-0.0711015;0.584622
